SystemId,metervalue,meterDate,solarlog s.no,last transfer date,Device type,may -2021 data,jun- 2021 data,jun - may diff,july- jun diff,capacity,specific yield,Reporting status
37636,75441,2021-07-29T06:03:00,960241224,01/07/2021 10:11,Meter,72498,74218,1720,1223,13.338,3.274746696,TRUE
37637,51194,2021-07-29T06:03:00,960241471,01/07/2021 10:11,Meter,49355,50443,1088,751,7.695,3.485565766,TRUE
27397,80489,2021-07-29T06:03:01,423374326,01/07/2021 10:11,Meter,77686,79360,1674,1129,12.312,3.274969832,TRUE
25093,31733,2021-07-29T06:03:01,2033991322,01/07/2021 10:11,Meter,30680,31323,643,410,4.658,3.143593204,TRUE
23839,27568,2021-07-29T06:03:01,1765555156,01/07/2021 10:11,Meter,26771,27223,452,345,4.536,2.716364324,TRUE
23494,46738,2021-07-29T06:03:01,960256044,01/07/2021 10:11,Meter,45379,46164,785,574,5.445,3.764921947,TRUE
83569,94343,2021-07-29T06:03:02,1228965886,01/07/2021 10:11,Meter,89419,92271,2852,2072,14.58,5.075445816,TRUE
21836,38831,2021-07-29T06:03:02,423379019,01/07/2021 10:11,Meter,37707,38369,662,462,4.59,3.594771242,TRUE
26030,43296,2021-07-29T06:03:02,1228685788,01/07/2021 10:11,Meter,42122,42829,707,467,5.292,3.151657488,TRUE
34767,49245,2021-07-29T06:03:02,1765556391,01/07/2021 10:11,Meter,47471,48561,1090,684,6.048,4.039115646,TRUE
30507,72215,2021-07-29T06:03:03,691814691,01/07/2021 10:11,Meter,66904,71321,4417,894,10.62,3.00645682,TRUE
23229,80138,2021-07-29T06:03:03,1765555650,01/07/2021 10:11,Meter,77674,79141,1467,997,10.836,3.286004324,TRUE
20142,40414,2021-07-29T06:03:04,691818149,01/07/2021 10:11,Meter,39045,39853,808,561,5.04,3.975340136,TRUE
29035,81263,2021-07-29T06:03:04,1228688752,01/07/2021 10:11,Meter,78705,80193,1488,1070,9.9,3.86002886,TRUE
24794,32812,2021-07-29T06:03:04,154943100,01/07/2021 10:11,Meter,31708,32373,665,439,4.284,3.659797252,TRUE
14834,71484,2021-07-29T06:03:04,691814444,01/07/2021 10:11,Meter,69311,70592,1281,892,8.424,3.781712115,TRUE
26368,62124,2021-07-29T06:03:05,2033992063,01/07/2021 10:11,Meter,60376,61378,1002,746,7.1145,3.744867122,TRUE
29134,71371,2021-07-29T06:03:05,2034250919,01/07/2021 10:11,Meter,68778,70334,1556,1037,9.653,3.836705095,TRUE
26553,54085,2021-07-29T06:03:05,1228689740,01/07/2021 10:11,Meter,52387,53419,1032,666,7.0632,3.367554973,TRUE
27636,58132,2021-07-29T06:03:06,423378278,01/07/2021 10:11,Meter,56423,57414,991,718,6.048,4.239890401,TRUE
23662,35799,2021-07-29T06:03:06,691813209,01/07/2021 10:11,Meter,34579,35298,719,501,4.455,4.016354016,TRUE
20000,101100,2021-07-29T06:03:06,154942853,01/07/2021 10:11,Meter,98143,99872,1729,1228,11.88,3.691678692,TRUE
27443,47643,2021-07-29T06:03:06,423381736,01/07/2021 10:12,Meter,45797,46900,1103,743,6.93,3.829107401,TRUE
20840,43974,2021-07-29T06:03:07,154947052,01/07/2021 10:12,Meter,42589,43411,822,563,5.4,3.723544974,TRUE
24965,66518,2021-07-29T06:03:07,423372597,01/07/2021 10:12,Meter,64465,65656,1191,862,9.936,3.098401196,TRUE
26180,49544,2021-07-29T06:03:07,1497125165,01/07/2021 10:12,Meter,48121,49032,911,512,6.21,2.944559466,TRUE
36309,154921,2021-07-29T06:03:08,1765559849,01/07/2021 10:12,Meter,149669,152802,3133,2119,21.19,3.571428571,TRUE
26004,47252,2021-07-29T06:03:08,423376549,01/07/2021 10:12,Meter,45658,46628,970,624,5.427,4.106451868,TRUE
25913,41385,2021-07-29T06:03:08,1497120966,01/07/2021 10:12,Meter,40133,40898,765,487,5.2974,3.283281826,TRUE
36369,75620,2021-07-29T06:03:09,691816173,01/07/2021 10:12,Meter,72851,74549,1698,1071,11.178,3.421900161,TRUE
